orderid,orderdate,ordertime,deliverytimeminutes,orderstatus,paymentmethod,customerid,customer_name,customer_city,restaurantid,restaurant_name,restaurant_city,cuisine,item_total_price,foodcost,deliveryfee,discount,couponcode,campaignname,gst,order_final_amount,customerrating,deliveryrating,foodrating,review,sentiment,temperature,rainfall,weathercondition
100001,2023-06-17,11:51:00,43,Delivered,Cash on Delivery,7095.0,Raksha Dey,Chennai,474.0,Urban Treats,Bengaluru,Mexican,,206.0,40.0,103.0,ZOMKXZZW,Republic Day Offer,10.3,153.3,2.0,2.0,1.0,Delivery took way too long.,Negative,,,
100002,2023-07-01,10:18:00,18,Food Not Delivered,Debit Card,9498.0,Ayushman Mitter,Chennai,828.0,Curry Bites,Lucknow,Sushi,,425.0,20.0,127.5,ZOM72K4N,Payday Delight,21.25,338.75,4.0,3.0,4.0,Amazing experience overall.,Positive,29.5,345.5,Rainy
100002,2023-07-01,10:18:00,18,Food Not Delivered,Debit Card,9498.0,Ayushman Mitter,Chennai,828.0,Curry Bites,Lucknow,Sushi,,425.0,20.0,127.5,ZOM72K4N,Payday Delight,21.25,338.75,4.0,3.0,4.0,Amazing experience overall.,Positive,31.9,311.8,Rainy
100003,2023-05-09,19:34:00,50,Cancelled,Net Banking,11040.0,Nicholas Mukhopadhyay,Guwahati,105.0,Royal Grill,Delhi,,,287.0,30.0,28.7,ZOMQJT3W,First Order Free Delivery,14.35,302.65,,,,,,34.2,1.8,Cloudy
100004,2024-06-22,00:26:00,29,Delivered,Credit Card,2553.0,Chakrika Bala,Ludhiana,923.0,Urban Corner,Lucknow,Mexican,,60.0,25.0,0.0,,,3.0,88.0,5.0,4.0,5.0,Best biryani in town!,Positive,26.8,25.0,Rainy
100005,2024-03-17,12:27:00,25,Delivered,UPI,8294.0,sarthak raghavan,Bhubaneswar,940.0,Blue Cafe,Guwahati,Healthy Food,,582.0,49.0,145.5,ZOMCFY14,Festive Feast,29.1,514.6,4.0,3.0,3.0,"Loved the taste, will order again.",Positive,,,
100006,2024-12-29,10:44:00,33,Cancelled,Wallet,7357.0,Daksha Chokshi,Coimbatore,1.0,Curry Cafe,Vadodara,Healthy Food,,271.0,25.0,0.0,,,13.55,309.55,,,,,,,,
100007,2024-10-08,23:19:00,47,Delivered Late,Debit Card,2141.0,Gopal Som,Visakhapatnam,725.0,Tasty Treats,Lucknow,Thai,,618.0,20.0,0.0,,,30.9,668.9,5.0,4.0,5.0,Great food and fast delivery!,Positive,17.5,321.8,Clear
100008,2023-04-12,19:15:00,53,Delivered Late,UPI,2833.0,Finn Bala,Lucknow,806.0,Curry Treats,Visakhapatnam,Continental,,308.0,25.0,46.2,ZOMF6UA0,Summer Splash,15.4,302.2,2.0,1.0,3.0,Order was incomplete.,Negative,38.1,0.0,Clear
100009,2023-11-11,19:07:00,55,Food Not Delivered,Credit Card,10709.0,Nicholas Tiwari,Raipur,124.0,Golden Kitchen,Surat,Desserts,,732.0,0.0,292.8,ZOMLV1NS,App Exclusive Deal,36.6,475.8,3.0,4.0,2.0,Delivery was on time but food was mediocre.,Neutral,,,
100010,2023-03-15,12:31:00,37,Delivered,Cash on Delivery,1385.0,Warhi Deshpande,Bengaluru,352.0,Blue Hub,Hyderabad,Desserts,,540.0,25.0,54.0,ZOMBCPD6,Late Night Cravings,27.0,538.0,3.0,2.0,3.0,Delivery was on time but food was mediocre.,Neutral,28.3,8.9,Humid
100011,2023-05-13,18:50:00,48,Delivered,Debit Card,4236.0,Zayan Dewan,Chandigarh,446.0,Tasty Diner,Kolkata,Healthy Food,,497.0,0.0,124.25,ZOMFCR7T,Monsoon Munchies,24.85,397.6,,,,,,36.8,26.1,Humid
100012,2023-03-01,13:22:00,45,Delivered,Credit Card,8189.0,Yatin Soni,Bengaluru,1134.0, Tasty Diner  ,Chennai,Bakery,,230.0,40.0,0.0,,,11.5,281.5,5.0,4.0,4.0,Delivery partner was very polite.,Positive,30.6,6.8,Clear
100013,2023-08-30,05:00:00,61,Delivered Late,UPI,8960.0,Waida Varkey,Nagpur,371.0,Urban Treats,Kolkata,South Indian,,179.0,30.0,0.0,,,8.95,217.95,3.0,3.0,4.0,"Food was okay, nothing special.",Neutral,23.2,304.6,Cloudy
100014,2023-10-03,12:16:00,19,Delivered,Cash on Delivery,1811.0,wyatt mann,Jaipur,208.0,The Diner,Visakhapatnam,Mexican,,525.0,40.0,0.0,,,26.25,591.25,5.0,5.0,5.0,Amazing experience overall.,Positive,27.5,22.7,Clear
100014,2023-10-03,12:16:00,19,Delivered,Cash on Delivery,1811.0,wyatt mann,Jaipur,208.0,The Diner,Visakhapatnam,Mexican,,525.0,40.0,0.0,,,26.25,591.25,5.0,5.0,5.0,Amazing experience overall.,Positive,37.9,1.6,Rainy
