"orderid","orderdate","ordertime","deliverytimeminutes","orderstatus","paymentmethod","customerid","customer_name","customer_city","restaurantid","restaurant_name","restaurant_city","cuisine","orderitemid","fooditemid","foodname","food_category","quantity","unitprice","item_total_price","foodcost","deliveryfee","discount","couponcode","campaignname","gst","order_final_amount","customerrating","deliveryrating","foodrating","review","sentiment","temperature","rainfall","weathercondition"
100001,"2023-06-17","11:51:00",43,"Delivered","Cash on Delivery",7095,"Raksha Dey","Chennai",474,"Urban Treats","Bengaluru","Mexican",NULL,NULL,NULL,NULL,NULL,NULL,NULL,206.00,40.00,103.00,"ZOMKXZZW","Republic Day Offer",10.30,153.30,2,2,1,"Delivery took way too long.","Negative",NULL,NULL,NULL
100002,"2023-07-01","10:18:00",18,"Food Not Delivered","Debit Card",9498,"Ayushman Mitter","Chennai",828,"Curry Bites","Lucknow","Sushi",NULL,NULL,NULL,NULL,NULL,NULL,NULL,425.00,20.00,127.50,"ZOM72K4N","Payday Delight",21.25,338.75,4,3,4,"Amazing experience overall.","Positive",29.50,345.50,"Rainy"
100002,"2023-07-01","10:18:00",18,"Food Not Delivered","Debit Card",9498,"Ayushman Mitter","Chennai",828,"Curry Bites","Lucknow","Sushi",NULL,NULL,NULL,NULL,NULL,NULL,NULL,425.00,20.00,127.50,"ZOM72K4N","Payday Delight",21.25,338.75,4,3,4,"Amazing experience overall.","Positive",31.90,311.80,"Rainy"
100003,"2023-05-09","19:34:00",50,"Cancelled","Net Banking",11040,"Nicholas Mukhopadhyay","Guwahati",105,"Royal Grill","Delhi",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,287.00,30.00,28.70,"ZOMQJT3W","First Order Free Delivery",14.35,302.65,NULL,NULL,NULL,NULL,NULL,34.20,1.80,"Cloudy"
100004,"2024-06-22","00:26:00",29,"Delivered","Credit Card",2553,"Chakrika Bala","Ludhiana",923,"Urban Corner","Lucknow","Mexican",NULL,NULL,NULL,NULL,NULL,NULL,NULL,60.00,25.00,0.00,NULL,NULL,3.00,88.00,5,4,5,"Best biryani in town!","Positive",26.80,25.00,"Rainy"
100005,"2024-03-17","12:27:00",25,"Delivered","UPI",8294,"sarthak raghavan","Bhubaneswar",940,"Blue Cafe","Guwahati","Healthy Food",NULL,NULL,NULL,NULL,NULL,NULL,NULL,582.00,49.00,145.50,"ZOMCFY14","Festive Feast",29.10,514.60,4,3,3,"Loved the taste, will order again.","Positive",NULL,NULL,NULL
100006,"2024-12-29","10:44:00",33,"Cancelled","Wallet",7357,"Daksha Chokshi","Coimbatore",1,"Curry Cafe","Vadodara","Healthy Food",NULL,NULL,NULL,NULL,NULL,NULL,NULL,271.00,25.00,0.00,NULL,NULL,13.55,309.55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100007,"2024-10-08","23:19:00",47,"Delivered Late","Debit Card",2141,"Gopal Som","Visakhapatnam",725,"Tasty Treats","Lucknow","Thai",NULL,NULL,NULL,NULL,NULL,NULL,NULL,618.00,20.00,0.00,NULL,NULL,30.90,668.90,5,4,5,"Great food and fast delivery!","Positive",17.50,321.80,"Clear"
100008,"2023-04-12","19:15:00",53,"Delivered Late","UPI",2833,"Finn Bala","Lucknow",806,"Curry Treats","Visakhapatnam","Continental",NULL,NULL,NULL,NULL,NULL,NULL,NULL,308.00,25.00,46.20,"ZOMF6UA0","Summer Splash",15.40,302.20,2,1,3,"Order was incomplete.","Negative",38.10,0.00,"Clear"
100009,"2023-11-11","19:07:00",55,"Food Not Delivered","Credit Card",10709,"Nicholas Tiwari","Raipur",124,"Golden Kitchen","Surat","Desserts",NULL,NULL,NULL,NULL,NULL,NULL,NULL,732.00,0.00,292.80,"ZOMLV1NS","App Exclusive Deal",36.60,475.80,3,4,2,"Delivery was on time but food was mediocre.","Neutral",NULL,NULL,NULL
100010,"2023-03-15","12:31:00",37,"Delivered","Cash on Delivery",1385,"Warhi Deshpande","Bengaluru",352,"Blue Hub","Hyderabad","Desserts",NULL,NULL,NULL,NULL,NULL,NULL,NULL,540.00,25.00,54.00,"ZOMBCPD6","Late Night Cravings",27.00,538.00,3,2,3,"Delivery was on time but food was mediocre.","Neutral",28.30,8.90,"Humid"
100011,"2023-05-13","18:50:00",48,"Delivered","Debit Card",4236,"Zayan Dewan","Chandigarh",446,"Tasty Diner","Kolkata","Healthy Food",NULL,NULL,NULL,NULL,NULL,NULL,NULL,497.00,0.00,124.25,"ZOMFCR7T","Monsoon Munchies",24.85,397.60,NULL,NULL,NULL,NULL,NULL,36.80,26.10,"Humid"
100012,"2023-03-01","13:22:00",45,"Delivered","Credit Card",8189,"Yatin Soni","Bengaluru",1134," Tasty Diner  ","Chennai","Bakery",NULL,NULL,NULL,NULL,NULL,NULL,NULL,230.00,40.00,0.00,NULL,NULL,11.50,281.50,5,4,4,"Delivery partner was very polite.","Positive",30.60,6.80,"Clear"
100013,"2023-08-30","05:00:00",61,"Delivered Late","UPI",8960,"Waida Varkey","Nagpur",371,"Urban Treats","Kolkata","South Indian",NULL,NULL,NULL,NULL,NULL,NULL,NULL,179.00,30.00,0.00,NULL,NULL,8.95,217.95,3,3,4,"Food was okay, nothing special.","Neutral",23.20,304.60,"Cloudy"
100014,"2023-10-03","12:16:00",19,"Delivered","Cash on Delivery",1811,"wyatt mann","Jaipur",208,"The Diner","Visakhapatnam","Mexican",NULL,NULL,NULL,NULL,NULL,NULL,NULL,525.00,40.00,0.00,NULL,NULL,26.25,591.25,5,5,5,"Amazing experience overall.","Positive",27.50,22.70,"Clear"
